原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/21,e2be,2025-12-21,e2be,表1,True
2025/12/21,691f,2025-12-21,691f,表1,True
2025/12/21,3fb3,2025-12-21,3fb3,表1,True
2025/12/21,cda9,2025-12-21,cda9,表1,True
2025/12/22,6210,2025-12-22,6210,表1,True
2025/12/22,64c2,2025-12-22,64c2,表1,True
2025/12/22,3bef,2025-12-22,3bef,表1,True
2025/12/22,cda9,2025-12-22,cda9,表1,True
2025/12/22,1af9,2025-12-22,1af9,表1,True
2025/12/22,691f,2025-12-22,691f,表1,True
2025/12/22,3fb3,2025-12-22,3fb3,表1,True
2025/12/22,5c12,2025-12-22,5c12,表1,True
2025/12/22,dcfe,2025-12-22,dcfe,表1,True
2025/12/22,c828,2025-12-22,c828,表1,True
2025/12/22,cbcd,2025-12-22,cbcd,表1,True
2025/12/22,52a2,2025-12-22,52a2,表1,True
2025/12/22,e2be,2025-12-22,e2be,表1,True
2025/11/13,17fd,2025-11-13,17fd,表1,True
2025/11/13,c0e4,2025-11-13,c0e4,表1,True
2025/11/13,e5fb,2025-11-13,e5fb,表1,True
2025/11/14,e5fb,2025-11-14,e5fb,表1,True
2025/11/14,c0e4,2025-11-14,c0e4,表1,True
2025/11/15,e5fb,2025-11-15,e5fb,表1,True
2025/11/15,17fd,2025-11-15,17fd,表1,True
2025/11/15,c0e4,2025-11-15,c0e4,表1,True
2025/11/17,e5fb,2025-11-17,e5fb,表1,True
2025/11/17,c0e4,2025-11-17,c0e4,表1,True
2025/11/17,17fd,2025-11-17,17fd,表1,True
2025/11/18,e5fb,2025-11-18,e5fb,表1,True
2025/11/18,c0e4,2025-11-18,c0e4,表1,True
2025/11/18,17fd,2025-11-18,17fd,表1,True
2025/11/19,17fd,2025-11-19,17fd,表1,True
2025/11/19,c0e4,2025-11-19,c0e4,表1,True
2025/11/19,e5fb,2025-11-19,e5fb,表1,True
2025/11/20,17fd,2025-11-20,17fd,表1,True
2025/11/20,c0e4,2025-11-20,c0e4,表1,True
2025/11/20,e5fb,2025-11-20,e5fb,表1,True
2025/11/20,821e,2025-11-20,821e,表1,True
2025/11/20,d70d,2025-11-20,d70d,表1,True
2025/11/21,17fd,2025-11-21,17fd,表1,True
2025/11/21,c0e4,2025-11-21,c0e4,表1,True
2025/11/21,e5fb,2025-11-21,e5fb,表1,True
2025/11/22,17fd,2025-11-22,17fd,表1,True
2025/11/22,c0e4,2025-11-22,c0e4,表1,True
2025/11/22,e5fb,2025-11-22,e5fb,表1,True
2025/11/24,17fd,2025-11-24,17fd,表1,True
2025/11/24,c0e4,2025-11-24,c0e4,表1,True
2025/11/24,e5fb,2025-11-24,e5fb,表1,True
2025/11/24,7cf6,2025-11-24,7cf6,表1,True
2025/11/24,e84e,2025-11-24,e84e,表1,True
